2018/12/26 14:50:34.430 [D]  init logger succ
2018/12/26 15:02:07.334 [D]  init logger succ
2018/12/26 15:55:33.496 [D]  init logger succ
2018/12/26 15:55:34.249 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:55:34.249 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:17.583 [D]  init logger succ
2018/12/26 15:58:18.335 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:18.335 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:12:11.814 [D]  init logger succ
2018/12/26 16:12:11.829 [D]  initKafka succ
2018/12/26 16:12:11.856 [D]  init ES succ
2018/12/26 16:20:14.659 [D]  partition:4,offset:31,Key:,Value:2018/12/26 16:01:53.411 [E]  initKafka failed errkafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:20:14.671 [D]  partition:5,offset:36,Key:,Value:2018/12/26 01:52:25.053 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
2018/12/26 16:20:14.687 [D]  partition:3,offset:30,Key:,Value:2018/12/26 01:52:25.053 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.716 [D]  partition:1,offset:40,Key:,Value:2018/12/26 01:52:25.050 [D]  connect etcd succ
2018/12/26 16:20:14.748 [D]  partition:7,offset:31,Key:,Value:2018/12/26 01:52:48.087 [D]  test for logger 24
2018/12/26 16:20:14.749 [D]  partition:0,offset:35,Key:,Value:2018/12/26 01:52:50.089 [D]  test for logger 26
2018/12/26 16:20:14.773 [D]  partition:6,offset:44,Key:,Value:2018/12/26 01:38:04.037 [D]  init kafka success
2018/12/26 16:20:14.786 [D]  partition:4,offset:32,Key:,Value:2018/12/26 16:20:13.637 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.791 [D]  partition:5,offset:37,Key:,Value:2018/12/26 01:52:25.053 [D]  initTailf success
2018/12/26 16:20:14.799 [D]  partition:3,offset:31,Key:,Value:2018/12/26 01:52:25.066 [D]  begin watch key:/oldboy/backend/logagent/config/192.168.76.139
2018/12/26 16:20:14.806 [D]  partition:1,offset:41,Key:,Value:2018/12/26 01:52:38.079 [D]  test for logger 14
2018/12/26 16:20:14.829 [D]  partition:2,offset:49,Key:,Value:2018/12/26 01:52:25.071 [D]  test for logger 1
2018/12/26 16:20:14.832 [D]  partition:0,offset:36,Key:,Value:2018/12/26 01:52:52.091 [D]  test for logger 28
2018/12/26 16:20:14.834 [D]  partition:6,offset:45,Key:,Value:2018/12/26 01:38:06.038 [D]  test for logger 3
2018/12/26 16:20:14.836 [D]  partition:7,offset:32,Key:,Value:2018/12/26 15:59:00.080 [D]  connect etcd succ
2018/12/26 16:20:14.839 [D]  partition:4,offset:33,Key:,Value:2018/12/26 16:20:13.639 [D]  init etcd success
2018/12/26 16:20:14.854 [D]  partition:3,offset:32,Key:,Value:2018/12/26 01:52:30.073 [D]  test for logger 6
